"","participant.code","...1","dis3_1","dis3_2","dis0_1","dis0_2","dis03_1","dis03_2","payoff1","seconds_on_page.InitializeParticipant","seconds_on_page.MyPage","seconds_on_page.Part1","seconds_on_page.CQ1","seconds_on_page.count1","seconds_on_page.count2","seconds_on_page.count3","seconds_on_page.count4","seconds_on_page.count5","seconds_on_page.count6","seconds_on_page.count7","seconds_on_page.count8","seconds_on_page.count9","seconds_on_page.count10","seconds_on_page.Result1","seconds_on_page.Part2","seconds_on_page.CQ2","seconds_on_page.Allocation","seconds_on_page.Result2WaitPage","seconds_on_page.Result2"
"104","y0hwtkn9",94,2.5,2.5,2.5,2.5,3.5,1.5,2,NA,1334,149,20,29,14,14,12,28,59,14,28,17,15,NA,379,8,87,NA,NA
"105","y3bmhwl3",92,2.5,2.5,2.5,2.5,0,5,3,NA,1842,179,14,20,16,11,9,12,11,9,12,10,10,338,255,95,55,0,143
"106","y45bkiaz",48,2.5,2.5,2.5,2.5,4,1,3,NA,1312,153,16,24,15,16,18,16,16,10,54,14,17,299,216,35,88,0,155
"107","yagy9srn",75,2.5,2.5,2.5,2.5,4,1,0,NA,2239,122,37,17,14,15,15,13,14,14,19,16,14,307,229,27,62,6,167
"108","yc89x74i",64,2.5,2.5,2.5,2.5,3,2,3,NA,1698,128,21,17,11,11,12,12,12,11,14,13,11,346,413,30,NA,NA,NA
"109","yfrj1k37",67,2.5,2.5,2.5,2.5,4,1,3,NA,1512,129,16,45,12,12,9,13,13,11,15,19,27,254,215,228,58,NA,NA
"110","ykvo4z2l",35,2.5,2.5,2.5,2.5,4,1,0,NA,3417,108,98,54,29,18,19,21,19,15,18,18,16,252,213,13,92,7,128
"111","ylgs8clb",33,2.5,2.5,2.5,2.5,4,1,3,NA,3549,33,142,19,18,20,26,37,13,14,15,15,13,334,222,35,44,66,10
"112","yn1iqz1z",85,2.5,2.5,2.5,2.5,2,3,0,NA,1890,4,281,40,20,34,18,29,35,43,54,20,15,185,2,232,95,0,NA
"113","ywcl6nm6",90,2.5,2.5,2.5,2.5,4,1,3,NA,1844,144,50,42,31,22,20,23,23,14,45,25,19,160,83,171,51,175,89
"114","yxq8i6ir",49,2.5,2.5,2.5,2.5,4,1,3,NA,1283,151,31,22,21,10,11,45,17,12,14,21,12,301,223,11,57,1,7
"115","z296maow",2,2.5,2.5,2.5,2.5,2,3,3,NA,1535,148,70,51,29,14,12,13,19,18,29,19,27,207,2,197,104,0,13
"116","z4an1hku",12,2.5,2.5,2.5,2.5,3,2,0,NA,999,286,31,35,12,15,10,9,12,19,15,10,11,286,232,15,166,1,NA
"117","zls1i7l6",39,5,0,5,0,0,5,3,NA,1587,159,11,18,16,13,12,12,12,11,15,12,13,371,217,13,35,146,76
"118","znkjsi4r",47,2.5,2.5,2.5,2.5,4,1,3,NA,1501,137,34,65,31,40,19,14,40,38,33,29,36,368,3,46,61,0,17
